"","real_crash_date","day_period","n"
"168",2021-11-04,"midnight",18
"169",2021-11-04,"morning",92
"170",2021-11-04,"noon",64
"171",2021-11-05,"afternoon",93
"172",2021-11-05,"evening",79
"173",2021-11-05,"midnight",27
"174",2021-11-05,"morning",94
"175",2021-11-05,"noon",75
"176",2021-11-06,"afternoon",68
"177",2021-11-06,"evening",71
"178",2021-11-06,"midnight",27
"179",2021-11-06,"morning",100
"180",2021-11-06,"noon",51
"181",2021-11-07,"afternoon",60
"182",2021-11-07,"evening",38
"183",2021-11-07,"midnight",7
"184",2021-11-07,"morning",107
"185",2021-11-07,"noon",39
"186",2021-11-08,"afternoon",87
"187",2021-11-08,"evening",61
"188",2021-11-08,"midnight",12
"189",2021-11-08,"morning",97
"190",2021-11-08,"noon",51
"191",2021-11-09,"afternoon",91
"192",2021-11-09,"evening",60
"193",2021-11-09,"midnight",14
"194",2021-11-09,"morning",88
"195",2021-11-09,"noon",57
"196",2021-11-10,"afternoon",93
"197",2021-11-10,"evening",60
"198",2021-11-10,"midnight",13
"199",2021-11-10,"morning",90
"200",2021-11-10,"noon",58
"201",2021-11-11,"afternoon",67
"202",2021-11-11,"evening",47
"203",2021-11-11,"midnight",22
"204",2021-11-11,"morning",81
"205",2021-11-11,"noon",45
"206",2021-11-12,"afternoon",79
"207",2021-11-12,"evening",44
"208",2021-11-12,"midnight",22
"209",2021-11-12,"morning",103
"210",2021-11-12,"noon",69
"211",2021-11-13,"afternoon",79
"212",2021-11-13,"evening",53
"213",2021-11-13,"midnight",23
"214",2021-11-13,"morning",98
"215",2021-11-13,"noon",41
"216",2021-11-14,"afternoon",39
"217",2021-11-14,"evening",57
"218",2021-11-14,"midnight",22
"219",2021-11-14,"morning",87
"220",2021-11-14,"noon",33
"221",2021-11-15,"afternoon",79
"222",2021-11-15,"evening",53
"223",2021-11-15,"midnight",17
"224",2021-11-15,"morning",83
"225",2021-11-15,"noon",52
